"Obj_id","fish_id","Area_km2"
1,1440,0.588101281380955
2,1441,20.5387531036006
3,1442,8.22557189032005
4,1497,0.09091769271899
5,1861,0.34938348532032
6,1862,63.4636376320672
7,1864,0.378201776839376
8,1906,0.174610944063326
9,1915,0.517866519321467
10,2284,1.39577111060216
11,2328,0.717593196903218
12,2331,0.696915702166841
13,2338,0.348989510135839
14,2632,137.368822933789
15,2633,18.8565192154542
16,2716,2.27791477304736
17,2718,0.034990172438416
18,2763,11.7930807067562
19,2767,0.173804092821343
20,2796,0.869698904426877
21,2797,2.08718681509223
22,3053,71.6912929975548
23,3054,265.165193152891
24,3055,0.144445415182851
25,3135,0.866328516458869
26,3186,0.061690708145436
27,3475,209.045285136037
28,3476,19.3505824006612
29,3560,0.861668676212673
30,3561,9.69317621117387
31,3562,25.6859189041877
32,3896,11.3412061534875
33,3897,83.4670292437663
34,3982,1.31149096986266
35,3983,0.352089054186076
36,3984,0.344649073029232
37,4017,0.172030695350265
38,4025,1.54934653108538
39,4028,0.344042817444873
40,4311,21.2455859454078
41,4312,104.272744601682
42,4313,22.2792959144797
43,4315,24.1277088384888
44,4316,10.2971881659463
45,4318,42.2236913179667
46,4319,18.6126307261519
47,4396,2.18915328869283
48,4397,11.5217968060093
49,4399,3.66988991739333
50,4400,11.9722446464187
51,4401,43.7103989933392
52,4402,22.4107363353967
53,4815,25.5216781019825
54,4816,23.1084730136034
55,4818,3.75274276309077
56,4819,8.70075234088452
57,4820,3.73584903774598
58,4821,21.3841424054715
59,4867,2.73708480606861
60,4871,1.19739726301387
61,5236,69.6755100867506
62,5238,110.135023183041
63,5239,14.5500651143126
64,5240,0.003368179962299
65,5241,5.28173666175786
66,5242,2.13814986549691
67,5575,0.198649704428659
68,5658,1.02022112407956
69,5659,2.02378650760186
70,5660,1.02202810016767
71,6077,4.36056987489212
72,6082,1.89630375170623
73,6116,0.507844231781039
74,6117,10.4804361509197
75,6539,0.16886452159395
76,6540,10.8807805529635
77,6557,1.01260924181267
78,6975,2.18699775738436
79,7260,8.50982501181359
80,7304,1.17464332614297
81,7333,0.243315223430339
82,7402,0.335139085869671
83,7683,7.46268745495339
84,7721,66.6881019836808
85,7757,0.301069093399804
86,7758,35.5315956024884
87,7817,0.668157431698574
88,7818,0.267670381724289
89,7822,0.500668076812893
90,8104,0.166620036246591
91,8105,59.3105366836419
92,8142,7.06904167561752
93,8143,8.4416140810191
94,8153,1.16315665374278
95,8154,3.7931044733554
96,8180,0.000302806440459
97,8245,3.32597926906882
98,8564,55.768928785796
99,8565,8.86815696252305
100,8575,0.279109453924049
101,8579,0.826385069430819
102,8604,0.331913442943206
103,8987,118.775234310745
104,9020,86.9892558274152
105,9054,4.39579300398385
106,9059,25.1447287641237
107,9060,12.7955154602847
108,9089,1.15441052456345
109,9442,21.1679825376838
110,9476,1.19379743325528
111,9480,6.55788934698813
112,9500,0.782099121535032
113,9511,91.7129867910868
114,9512,28.2562621568419
115,9870,1.42769441654869
116,9871,0.001941002227242
117,9890,0.65618048704033
118,9902,15.039302209835
119,9922,138.557475837295
120,9923,29.3502010168372
121,9928,0.001553914487631
122,10293,0.82357738351589
123,10326,3.60956966439777
124,10355,10.1516356326526
125,10356,116.714272597046
126,10727,0.162605015878547
127,10748,1.81911484714147
128,10770,0.012735192185069
129,10772,15.2281160410087
130,10773,21.8768819195711
131,10775,200.568078313853
132,10776,144.876095741448
133,10777,135.711950629659
134,10778,272.395014878946
135,10779,22.0252952764714
136,11061,9.38676542397704
137,11062,28.1878919185851
138,11152,2.48679429547555
139,11153,0.051445584884885
140,11167,0.031746446863294
141,11483,72.8011687217517
142,11484,60.8097858722101
143,11569,0.178935082852472
144,11570,11.8397575774104
145,11572,1.73301265701885
146,11574,1.22487609363797
147,11585,24.1131193528084
148,11905,1.03124891645188
149,11951,0.015031463961992
150,11990,0.513882274274936
151,12005,77.4525068586029
152,12006,419.797410124487
153,12007,200.364868013216
154,12428,231.007466403475
155,12429,75.2689863835334
156,12833,0.013658785017975
157,12845,55.0231528950249
158,12846,73.8298562897937
159,12847,47.1301966415434
160,12848,62.4875415036143
161,12849,5.61025571487966
162,12850,96.9889083299595
163,12898,6.12707903850562
164,13253,1.0998079209846
165,13265,21.4533697133996
166,13266,70.997560202289
167,13267,59.0089165773994
168,13270,3.06052507884917
169,13319,21.6902916410953
170,13320,0.177049898332455
171,13592,1.0093817885782
172,13686,54.3638167523359
173,13687,12.2565389465479
174,13692,0.793296892894077
175,13693,0.31671681131232
176,13740,130.947856546099
177,13741,348.934346139293
178,14107,61.3572430671328
179,14108,134.355833730476
180,14163,89.7698417652168
181,14486,174.637307099704
182,14487,33.4533815456915
183,14529,246.718560745906
184,14530,3.30847728716232
185,14539,14.6195249444313
186,14585,165.749191805127
187,14586,220.89694113784
188,14587,3.13958834320232
189,14908,20.5724491412162
190,14909,107.940452038634
191,14910,81.3487271690384
192,14911,24.6375126629237
193,14912,45.4603719897274
194,14950,16.5317052243592
195,14951,399.62347536358
196,15007,19.5970162249941
197,15008,315.994553316442
198,15009,125.445854795059
199,15010,2.60789090907086
200,15299,5.7305585879897
201,15305,0.992306929328237
202,15306,11.8041149072423
203,15333,92.0757050815598
204,15334,3.3270534357982
205,15372,242.312782532272
206,15373,266.534288742261
207,15432,39.0234566106321
208,15434,10.1230045180522
209,15706,0.017442121746788
210,15714,0.182368107665688
211,15717,1.08566102188444
212,15733,28.9391855974257
213,15792,124.548294045297
214,15793,326.456601995855
215,15794,201.862987288237
216,15795,0.934013420389086
